"condition","frame","crop_relative","target_relative","crop_path","target_path","error"
"M1_10mA_20C_0","frame_0003","input/M1_10mA_20C_0/frame_0003.png","target/M1_10mA_20C_0/frame_0003.png","","",""
"M1_10mA_20C_0","frame_0007","input/M1_10mA_20C_0/frame_0007.png","target/M1_10mA_20C_0/frame_0007.png","","",""
"M1_10mA_20C_0","frame_0009","input/M1_10mA_20C_0/frame_0009.png","target/M1_10mA_20C_0/frame_0009.png","","",""
"M1_10mA_30C_0","frame_0003","input/M1_10mA_30C_0/frame_0003.png","target/M1_10mA_30C_0/frame_0003.png","","",""
"M1_10mA_30C_0","frame_0010","input/M1_10mA_30C_0/frame_0010.png","target/M1_10mA_30C_0/frame_0010.png","","",""
"M1_10mA_30C_0","frame_0015","input/M1_10mA_30C_0/frame_0015.png","target/M1_10mA_30C_0/frame_0015.png","","",""
"M1_10mA_40C_0","frame_0005","input/M1_10mA_40C_0/frame_0005.png","target/M1_10mA_40C_0/frame_0005.png","","",""
"M1_10mA_40C_0","frame_0007","input/M1_10mA_40C_0/frame_0007.png","target/M1_10mA_40C_0/frame_0007.png","","",""
"M1_10mA_40C_0","frame_0019","input/M1_10mA_40C_0/frame_0019.png","target/M1_10mA_40C_0/frame_0019.png","","",""
"M1_20mA_20C_0","frame_0003","input/M1_20mA_20C_0/frame_0003.png","target/M1_20mA_20C_0/frame_0003.png","","",""
"M1_20mA_20C_0","frame_0011","input/M1_20mA_20C_0/frame_0011.png","target/M1_20mA_20C_0/frame_0011.png","","",""
"M1_20mA_20C_0","frame_0012","input/M1_20mA_20C_0/frame_0012.png","target/M1_20mA_20C_0/frame_0012.png","","",""
"M1_20mA_30C_0","frame_0005","input/M1_20mA_30C_0/frame_0005.png","target/M1_20mA_30C_0/frame_0005.png","","",""
"M1_20mA_30C_0","frame_0006","input/M1_20mA_30C_0/frame_0006.png","target/M1_20mA_30C_0/frame_0006.png","","",""
"M1_20mA_30C_0","frame_0009","input/M1_20mA_30C_0/frame_0009.png","target/M1_20mA_30C_0/frame_0009.png","","",""
"M1_20mA_40C_0","frame_0002","input/M1_20mA_40C_0/frame_0002.png","target/M1_20mA_40C_0/frame_0002.png","","",""
"M1_20mA_40C_0","frame_0003","input/M1_20mA_40C_0/frame_0003.png","target/M1_20mA_40C_0/frame_0003.png","","",""
"M1_20mA_40C_0","frame_0004","input/M1_20mA_40C_0/frame_0004.png","target/M1_20mA_40C_0/frame_0004.png","","",""
"M1_30mA_20C_0","frame_0001","input/M1_30mA_20C_0/frame_0001.png","target/M1_30mA_20C_0/frame_0001.png","","",""
"M1_30mA_20C_0","frame_0007","input/M1_30mA_20C_0/frame_0007.png","target/M1_30mA_20C_0/frame_0007.png","","",""
"M1_30mA_20C_0","frame_0008","input/M1_30mA_20C_0/frame_0008.png","target/M1_30mA_20C_0/frame_0008.png","","",""
"M1_30mA_30C_0","frame_0008","input/M1_30mA_30C_0/frame_0008.png","target/M1_30mA_30C_0/frame_0008.png","","",""
"M1_30mA_30C_0","frame_0010","input/M1_30mA_30C_0/frame_0010.png","target/M1_30mA_30C_0/frame_0010.png","","",""
"M1_30mA_30C_0","frame_0012","input/M1_30mA_30C_0/frame_0012.png","target/M1_30mA_30C_0/frame_0012.png","","",""
"M1_30mA_40C_0","frame_0015","input/M1_30mA_40C_0/frame_0015.png","target/M1_30mA_40C_0/frame_0015.png","","",""
"M1_30mA_40C_0","frame_0022","input/M1_30mA_40C_0/frame_0022.png","target/M1_30mA_40C_0/frame_0022.png","","",""
"M1_30mA_40C_0","frame_0023","input/M1_30mA_40C_0/frame_0023.png","target/M1_30mA_40C_0/frame_0023.png","","",""
"M2_10mA_20C_0","frame_0004","input/M2_10mA_20C_0/frame_0004.png","target/M2_10mA_20C_0/frame_0004.png","","",""
"M2_10mA_20C_0","frame_0007","input/M2_10mA_20C_0/frame_0007.png","target/M2_10mA_20C_0/frame_0007.png","","",""
"M2_10mA_20C_0","frame_0009","input/M2_10mA_20C_0/frame_0009.png","target/M2_10mA_20C_0/frame_0009.png","","",""
"M2_10mA_30C_0","frame_0001","input/M2_10mA_30C_0/frame_0001.png","target/M2_10mA_30C_0/frame_0001.png","","",""
"M2_10mA_30C_0","frame_0002","input/M2_10mA_30C_0/frame_0002.png","target/M2_10mA_30C_0/frame_0002.png","","",""
"M2_10mA_30C_0","frame_0008","input/M2_10mA_30C_0/frame_0008.png","target/M2_10mA_30C_0/frame_0008.png","","",""
"M2_10mA_40C_0","frame_0001","input/M2_10mA_40C_0/frame_0001.png","target/M2_10mA_40C_0/frame_0001.png","","",""
"M2_10mA_40C_0","frame_0005","input/M2_10mA_40C_0/frame_0005.png","target/M2_10mA_40C_0/frame_0005.png","","",""
"M2_10mA_40C_0","frame_0007","input/M2_10mA_40C_0/frame_0007.png","target/M2_10mA_40C_0/frame_0007.png","","",""
"M2_20mA_20C_0","frame_0013","input/M2_20mA_20C_0/frame_0013.png","target/M2_20mA_20C_0/frame_0013.png","","",""
"M2_20mA_20C_0","frame_0022","input/M2_20mA_20C_0/frame_0022.png","target/M2_20mA_20C_0/frame_0022.png","","",""
"M2_20mA_20C_0","frame_0025","input/M2_20mA_20C_0/frame_0025.png","target/M2_20mA_20C_0/frame_0025.png","","",""
"M2_20mA_30C_0","frame_0003","input/M2_20mA_30C_0/frame_0003.png","target/M2_20mA_30C_0/frame_0003.png","","",""
"M2_20mA_30C_0","frame_0005","input/M2_20mA_30C_0/frame_0005.png","target/M2_20mA_30C_0/frame_0005.png","","",""
"M2_20mA_30C_0","frame_0016","input/M2_20mA_30C_0/frame_0016.png","target/M2_20mA_30C_0/frame_0016.png","","",""
"M2_20mA_40C_0","frame_0002","input/M2_20mA_40C_0/frame_0002.png","target/M2_20mA_40C_0/frame_0002.png","","",""
"M2_20mA_40C_0","frame_0003","input/M2_20mA_40C_0/frame_0003.png","target/M2_20mA_40C_0/frame_0003.png","","",""
"M2_20mA_40C_0","frame_0011","input/M2_20mA_40C_0/frame_0011.png","target/M2_20mA_40C_0/frame_0011.png","","",""
"M2_30mA_20C_0","frame_0001","input/M2_30mA_20C_0/frame_0001.png","target/M2_30mA_20C_0/frame_0001.png","","",""
"M2_30mA_20C_0","frame_0005","input/M2_30mA_20C_0/frame_0005.png","target/M2_30mA_20C_0/frame_0005.png","","",""
"M2_30mA_20C_0","frame_0007","input/M2_30mA_20C_0/frame_0007.png","target/M2_30mA_20C_0/frame_0007.png","","",""
"M2_30mA_30C_0","frame_0001","input/M2_30mA_30C_0/frame_0001.png","target/M2_30mA_30C_0/frame_0001.png","","",""
"M2_30mA_30C_0","frame_0014","input/M2_30mA_30C_0/frame_0014.png","target/M2_30mA_30C_0/frame_0014.png","","",""
"M2_30mA_30C_0","frame_0019","input/M2_30mA_30C_0/frame_0019.png","target/M2_30mA_30C_0/frame_0019.png","","",""
"M2_30mA_40C_0","frame_0015","input/M2_30mA_40C_0/frame_0015.png","target/M2_30mA_40C_0/frame_0015.png","","",""
"M2_30mA_40C_0","frame_0016","input/M2_30mA_40C_0/frame_0016.png","target/M2_30mA_40C_0/frame_0016.png","","",""
"M2_30mA_40C_0","frame_0017","input/M2_30mA_40C_0/frame_0017.png","target/M2_30mA_40C_0/frame_0017.png","","",""
"M3_10mA_20C_0","frame_0004","input/M3_10mA_20C_0/frame_0004.png","target/M3_10mA_20C_0/frame_0004.png","","",""
"M3_10mA_20C_0","frame_0007","input/M3_10mA_20C_0/frame_0007.png","target/M3_10mA_20C_0/frame_0007.png","","",""
"M3_10mA_20C_0","frame_0011","input/M3_10mA_20C_0/frame_0011.png","target/M3_10mA_20C_0/frame_0011.png","","",""
"M3_10mA_30C_0","frame_0007","input/M3_10mA_30C_0/frame_0007.png","target/M3_10mA_30C_0/frame_0007.png","","",""
"M3_10mA_30C_0","frame_0008","input/M3_10mA_30C_0/frame_0008.png","target/M3_10mA_30C_0/frame_0008.png","","",""
"M3_10mA_30C_0","frame_0010","input/M3_10mA_30C_0/frame_0010.png","target/M3_10mA_30C_0/frame_0010.png","","",""
"M3_10mA_40C_0","frame_0001","input/M3_10mA_40C_0/frame_0001.png","target/M3_10mA_40C_0/frame_0001.png","","",""
"M3_10mA_40C_0","frame_0005","input/M3_10mA_40C_0/frame_0005.png","target/M3_10mA_40C_0/frame_0005.png","","",""
"M3_10mA_40C_0","frame_0006","input/M3_10mA_40C_0/frame_0006.png","target/M3_10mA_40C_0/frame_0006.png","","",""
"M3_20mA_20C_0","frame_0005","input/M3_20mA_20C_0/frame_0005.png","target/M3_20mA_20C_0/frame_0005.png","","",""
"M3_20mA_20C_0","frame_0006","input/M3_20mA_20C_0/frame_0006.png","target/M3_20mA_20C_0/frame_0006.png","","",""
"M3_20mA_20C_0","frame_0022","input/M3_20mA_20C_0/frame_0022.png","target/M3_20mA_20C_0/frame_0022.png","","",""
"M3_20mA_30C_0","frame_0001","input/M3_20mA_30C_0/frame_0001.png","target/M3_20mA_30C_0/frame_0001.png","","",""
"M3_20mA_30C_0","frame_0008","input/M3_20mA_30C_0/frame_0008.png","target/M3_20mA_30C_0/frame_0008.png","","",""
"M3_20mA_30C_0","frame_0012","input/M3_20mA_30C_0/frame_0012.png","target/M3_20mA_30C_0/frame_0012.png","","",""
"M3_20mA_40C_0","frame_0001","input/M3_20mA_40C_0/frame_0001.png","target/M3_20mA_40C_0/frame_0001.png","","",""
"M3_20mA_40C_0","frame_0005","input/M3_20mA_40C_0/frame_0005.png","target/M3_20mA_40C_0/frame_0005.png","","",""
"M3_20mA_40C_0","frame_0012","input/M3_20mA_40C_0/frame_0012.png","target/M3_20mA_40C_0/frame_0012.png","","",""
"M3_30mA_20C_0","frame_0001","input/M3_30mA_20C_0/frame_0001.png","target/M3_30mA_20C_0/frame_0001.png","","",""
"M3_30mA_20C_0","frame_0007","input/M3_30mA_20C_0/frame_0007.png","target/M3_30mA_20C_0/frame_0007.png","","",""
"M3_30mA_20C_0","frame_0018","input/M3_30mA_20C_0/frame_0018.png","target/M3_30mA_20C_0/frame_0018.png","","",""
"M3_30mA_30C_0","frame_0004","input/M3_30mA_30C_0/frame_0004.png","target/M3_30mA_30C_0/frame_0004.png","","",""
"M3_30mA_30C_0","frame_0005","input/M3_30mA_30C_0/frame_0005.png","target/M3_30mA_30C_0/frame_0005.png","","",""
"M3_30mA_30C_0","frame_0012","input/M3_30mA_30C_0/frame_0012.png","target/M3_30mA_30C_0/frame_0012.png","","",""
"M3_30mA_40C_0","frame_0003","input/M3_30mA_40C_0/frame_0003.png","target/M3_30mA_40C_0/frame_0003.png","","",""
"M3_30mA_40C_0","frame_0004","input/M3_30mA_40C_0/frame_0004.png","target/M3_30mA_40C_0/frame_0004.png","","",""
"M3_30mA_40C_0","frame_0005","input/M3_30mA_40C_0/frame_0005.png","target/M3_30mA_40C_0/frame_0005.png","","",""
"M4_10mA_20C_0","frame_0001","input/M4_10mA_20C_0/frame_0001.png","target/M4_10mA_20C_0/frame_0001.png","","",""
"M4_10mA_20C_0","frame_0004","input/M4_10mA_20C_0/frame_0004.png","target/M4_10mA_20C_0/frame_0004.png","","",""
"M4_10mA_20C_0","frame_0007","input/M4_10mA_20C_0/frame_0007.png","target/M4_10mA_20C_0/frame_0007.png","","",""
"M4_10mA_30C_0","frame_0001","input/M4_10mA_30C_0/frame_0001.png","target/M4_10mA_30C_0/frame_0001.png","","",""
"M4_10mA_30C_0","frame_0002","input/M4_10mA_30C_0/frame_0002.png","target/M4_10mA_30C_0/frame_0002.png","","",""
"M4_10mA_30C_0","frame_0006","input/M4_10mA_30C_0/frame_0006.png","target/M4_10mA_30C_0/frame_0006.png","","",""
"M4_10mA_40C_0","frame_0002","input/M4_10mA_40C_0/frame_0002.png","target/M4_10mA_40C_0/frame_0002.png","","",""
"M4_10mA_40C_0","frame_0004","input/M4_10mA_40C_0/frame_0004.png","target/M4_10mA_40C_0/frame_0004.png","","",""
"M4_10mA_40C_0","frame_0009","input/M4_10mA_40C_0/frame_0009.png","target/M4_10mA_40C_0/frame_0009.png","","",""
