metric,unit,population_balanced_baseline,stability_only_no_inter
probe_to_reference_intra_hd_mean,percent,0.3508793081,0.2170674726
reliability,percent,99.6491206919,99.7829325274
probe_to_reference_intra_hd_p95,percent,1.8945312500,1.0742187500
probe_to_reference_intra_hd_p99,percent,5.5449218750,4.1503906250
uniformity_mean,percent_ones,50.0162760417,50.1139322917
uniformity_std,percent,1.1005300459,1.0125215505
bit_aliasing_mean,percent_devices_with_one,49.9715476256,50.1505533854
fuzzy_extractor_exact_recovery,percent,100,100
quality_gate_rejects,count_out_of_3645,0,0
old_definition_probe_pair_intra_hd_mean,percent,0.7014390734,0.4410264757
old_definition_probe_pair_inter_hd_mean,percent,49.7930948893,49.9467732747
old_definition_strict_gap,percentage_points,25.6347656250,30.2246093750
closed_set_auc,fraction,1,1
empirical_eer,fraction,0,0
maximum_genuine_hd,percent,19.0429687500,16.5527343750
minimum_impostor_hd,percent,29.2480468750,27.1484375000
zero_error_score_gap,percentage_points,10.2050781250,10.5957031250
