device,device_index,condition,frame,uniformity_percent
M1,1,M1_10mA_20C_0,frame_0022.png,49.90234375
M1,1,M1_10mA_20C_0,frame_0030.png,50.09765625
M1,1,M1_10mA_20C_0,frame_0032.png,49.90234375
M1,1,M1_10mA_20C_0,frame_0038.png,50.09765625
M1,1,M1_10mA_20C_0,frame_0039.png,49.853515625
M1,1,M1_10mA_20C_0,frame_0042.png,49.90234375
M1,1,M1_10mA_20C_0,frame_0043.png,49.90234375
M1,1,M1_10mA_20C_0,frame_0045.png,49.90234375
M1,1,M1_10mA_20C_0,frame_0046.png,49.90234375
M1,1,M1_10mA_20C_0,frame_0052.png,49.90234375
M1,1,M1_10mA_20C_0,frame_0059.png,49.90234375
M1,1,M1_10mA_20C_0,frame_0061.png,49.853515625
M1,1,M1_10mA_20C_0,frame_0072.png,49.951171875
M1,1,M1_10mA_20C_0,frame_0074.png,49.90234375
M1,1,M1_10mA_20C_0,frame_0078.png,49.90234375
M1,1,M1_10mA_20C_0,frame_0086.png,49.853515625
M1,1,M1_10mA_20C_0,frame_0090.png,49.90234375
M1,1,M1_10mA_20C_0,frame_0092.png,49.951171875
M1,1,M1_10mA_20C_0,frame_0096.png,49.90234375
M1,1,M1_10mA_20C_0,frame_0107.png,49.90234375
M1,1,M1_10mA_20C_0,frame_0111.png,49.90234375
M1,1,M1_10mA_20C_0,frame_0112.png,49.951171875
M1,1,M1_10mA_20C_0,frame_0113.png,49.90234375
M1,1,M1_10mA_20C_0,frame_0118.png,49.90234375
M1,1,M1_10mA_20C_0,frame_0121.png,49.90234375
M1,1,M1_10mA_20C_0,frame_0127.png,49.90234375
M1,1,M1_10mA_20C_0,frame_0129.png,49.90234375
M1,1,M1_10mA_20C_0,frame_0131.png,49.951171875
M1,1,M1_10mA_20C_0,frame_0134.png,49.90234375
M1,1,M1_10mA_20C_0,frame_0137.png,49.90234375
M1,1,M1_10mA_20C_0,frame_0143.png,49.90234375
M1,1,M1_10mA_20C_0,frame_0152.png,49.951171875
M1,1,M1_10mA_20C_0,frame_0153.png,49.90234375
M1,1,M1_10mA_20C_0,frame_0156.png,49.90234375
M1,1,M1_10mA_20C_0,frame_0157.png,49.90234375
M1,1,M1_10mA_20C_0,frame_0160.png,49.853515625
M1,1,M1_10mA_20C_0,frame_0161.png,49.853515625
M1,1,M1_10mA_20C_0,frame_0168.png,49.951171875
M1,1,M1_10mA_20C_0,frame_0175.png,49.853515625
M1,1,M1_10mA_20C_0,frame_0178.png,49.90234375
M1,1,M1_10mA_20C_0,frame_0180.png,49.90234375
M1,1,M1_10mA_20C_0,frame_0182.png,49.90234375
M1,1,M1_10mA_20C_0,frame_0186.png,49.853515625
M1,1,M1_10mA_20C_0,frame_0188.png,49.90234375
M1,1,M1_10mA_20C_0,frame_0195.png,49.90234375
M1,1,M1_10mA_30C_0,frame_0028.png,49.90234375
M1,1,M1_10mA_30C_0,frame_0031.png,49.90234375
M1,1,M1_10mA_30C_0,frame_0033.png,49.90234375
M1,1,M1_10mA_30C_0,frame_0034.png,49.90234375
M1,1,M1_10mA_30C_0,frame_0040.png,49.90234375
M1,1,M1_10mA_30C_0,frame_0044.png,49.90234375
M1,1,M1_10mA_30C_0,frame_0045.png,50.0
M1,1,M1_10mA_30C_0,frame_0058.png,49.90234375
M1,1,M1_10mA_30C_0,frame_0064.png,49.90234375
M1,1,M1_10mA_30C_0,frame_0070.png,49.90234375
M1,1,M1_10mA_30C_0,frame_0073.png,49.90234375
M1,1,M1_10mA_30C_0,frame_0075.png,49.90234375
M1,1,M1_10mA_30C_0,frame_0080.png,49.90234375
M1,1,M1_10mA_30C_0,frame_0084.png,49.853515625
M1,1,M1_10mA_30C_0,frame_0085.png,49.90234375
M1,1,M1_10mA_30C_0,frame_0086.png,50.0
M1,1,M1_10mA_30C_0,frame_0089.png,49.90234375
M1,1,M1_10mA_30C_0,frame_0092.png,49.90234375
M1,1,M1_10mA_30C_0,frame_0093.png,49.90234375
M1,1,M1_10mA_30C_0,frame_0114.png,49.90234375
M1,1,M1_10mA_30C_0,frame_0118.png,49.90234375
M1,1,M1_10mA_30C_0,frame_0121.png,49.90234375
M1,1,M1_10mA_30C_0,frame_0123.png,49.90234375
M1,1,M1_10mA_30C_0,frame_0129.png,49.90234375
M1,1,M1_10mA_30C_0,frame_0132.png,49.90234375
M1,1,M1_10mA_30C_0,frame_0140.png,49.951171875
M1,1,M1_10mA_30C_0,frame_0142.png,49.90234375
M1,1,M1_10mA_30C_0,frame_0144.png,49.90234375
M1,1,M1_10mA_30C_0,frame_0148.png,49.90234375
M1,1,M1_10mA_30C_0,frame_0152.png,49.90234375
M1,1,M1_10mA_30C_0,frame_0154.png,49.90234375
M1,1,M1_10mA_30C_0,frame_0155.png,49.951171875
M1,1,M1_10mA_30C_0,frame_0161.png,49.90234375
M1,1,M1_10mA_30C_0,frame_0162.png,49.90234375
M1,1,M1_10mA_30C_0,frame_0165.png,49.90234375
M1,1,M1_10mA_30C_0,frame_0166.png,49.90234375
M1,1,M1_10mA_30C_0,frame_0168.png,49.90234375
M1,1,M1_10mA_30C_0,frame_0170.png,49.951171875
M1,1,M1_10mA_30C_0,frame_0174.png,50.0
M1,1,M1_10mA_30C_0,frame_0175.png,49.90234375
M1,1,M1_10mA_30C_0,frame_0176.png,49.90234375
M1,1,M1_10mA_30C_0,frame_0180.png,50.048828125
M1,1,M1_10mA_30C_0,frame_0187.png,49.365234375
M1,1,M1_10mA_30C_0,frame_0192.png,49.90234375
M1,1,M1_10mA_30C_0,frame_0194.png,49.90234375
M1,1,M1_10mA_40C_0,frame_0032.png,49.90234375
M1,1,M1_10mA_40C_0,frame_0033.png,49.90234375
M1,1,M1_10mA_40C_0,frame_0038.png,49.90234375
M1,1,M1_10mA_40C_0,frame_0039.png,49.90234375
M1,1,M1_10mA_40C_0,frame_0040.png,49.90234375
M1,1,M1_10mA_40C_0,frame_0042.png,49.90234375
M1,1,M1_10mA_40C_0,frame_0047.png,49.951171875
M1,1,M1_10mA_40C_0,frame_0053.png,49.853515625
M1,1,M1_10mA_40C_0,frame_0063.png,49.90234375
M1,1,M1_10mA_40C_0,frame_0067.png,49.90234375
M1,1,M1_10mA_40C_0,frame_0069.png,49.90234375
M1,1,M1_10mA_40C_0,frame_0073.png,49.90234375
M1,1,M1_10mA_40C_0,frame_0080.png,49.951171875
M1,1,M1_10mA_40C_0,frame_0086.png,49.90234375
M1,1,M1_10mA_40C_0,frame_0088.png,49.90234375
M1,1,M1_10mA_40C_0,frame_0096.png,49.951171875
M1,1,M1_10mA_40C_0,frame_0102.png,49.90234375
M1,1,M1_10mA_40C_0,frame_0106.png,49.90234375
M1,1,M1_10mA_40C_0,frame_0107.png,49.951171875
M1,1,M1_10mA_40C_0,frame_0109.png,49.951171875
M1,1,M1_10mA_40C_0,frame_0112.png,49.853515625
M1,1,M1_10mA_40C_0,frame_0114.png,49.90234375
M1,1,M1_10mA_40C_0,frame_0117.png,50.09765625
M1,1,M1_10mA_40C_0,frame_0123.png,49.90234375
M1,1,M1_10mA_40C_0,frame_0125.png,49.90234375
M1,1,M1_10mA_40C_0,frame_0128.png,49.90234375
M1,1,M1_10mA_40C_0,frame_0129.png,49.90234375
M1,1,M1_10mA_40C_0,frame_0136.png,49.951171875
M1,1,M1_10mA_40C_0,frame_0137.png,49.90234375
M1,1,M1_10mA_40C_0,frame_0140.png,50.0
M1,1,M1_10mA_40C_0,frame_0147.png,49.90234375
M1,1,M1_10mA_40C_0,frame_0157.png,49.90234375
M1,1,M1_10mA_40C_0,frame_0162.png,50.0
M1,1,M1_10mA_40C_0,frame_0167.png,49.90234375
M1,1,M1_10mA_40C_0,frame_0173.png,49.90234375
M1,1,M1_10mA_40C_0,frame_0177.png,49.90234375
M1,1,M1_10mA_40C_0,frame_0178.png,49.90234375
M1,1,M1_10mA_40C_0,frame_0180.png,49.90234375
M1,1,M1_10mA_40C_0,frame_0182.png,49.951171875
M1,1,M1_10mA_40C_0,frame_0184.png,49.90234375
M1,1,M1_10mA_40C_0,frame_0185.png,49.951171875
