bin_left,bin_right,bin_center,bin_width,intra_count,intra_relative_frequency_percent,intra_probability_density,inter_count,inter_relative_frequency_percent,inter_probability_density
0.0,0.01,0.005,0.01,32078,89.10555555555555,89.10555555555555,0,0.0,0.0
0.01,0.02,0.015,0.01,1939,5.386111111111111,5.386111111111111,0,0.0,0.0
0.02,0.03,0.025,0.009999999999999998,704,1.9555555555555555,1.955555555555556,0,0.0,0.0
0.03,0.04,0.035,0.010000000000000002,439,1.2194444444444446,1.2194444444444443,0,0.0,0.0
0.04,0.05,0.045,0.010000000000000002,205,0.5694444444444444,0.5694444444444443,0,0.0,0.0
0.05,0.06,0.055,0.009999999999999995,140,0.3888888888888889,0.38888888888888906,0,0.0,0.0
0.06,0.07,0.065,0.010000000000000009,136,0.37777777777777777,0.37777777777777743,0,0.0,0.0
0.07,0.08,0.07500000000000001,0.009999999999999995,67,0.18611111111111112,0.1861111111111112,0,0.0,0.0
0.08,0.09,0.08499999999999999,0.009999999999999995,111,0.30833333333333335,0.30833333333333346,0,0.0,0.0
0.09,0.1,0.095,0.010000000000000009,83,0.23055555555555557,0.23055555555555535,0,0.0,0.0
0.1,0.11,0.10500000000000001,0.009999999999999995,22,0.06111111111111111,0.06111111111111114,0,0.0,0.0
0.11,0.12,0.11499999999999999,0.009999999999999995,2,0.005555555555555556,0.005555555555555558,0,0.0,0.0
0.12,0.13,0.125,0.010000000000000009,20,0.05555555555555555,0.055555555555555504,0,0.0,0.0
0.13,0.14,0.135,0.010000000000000009,6,0.016666666666666666,0.016666666666666653,0,0.0,0.0
0.14,0.15,0.14500000000000002,0.009999999999999981,22,0.06111111111111111,0.06111111111111123,0,0.0,0.0
0.15,0.16,0.155,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.16,0.17,0.165,0.010000000000000009,23,0.06388888888888888,0.06388888888888883,0,0.0,0.0
0.17,0.18,0.175,0.009999999999999981,3,0.008333333333333333,0.008333333333333349,0,0.0,0.0
0.18,0.19,0.185,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.19,0.2,0.195,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.2,0.21,0.20500000000000002,0.009999999999999981,0,0.0,0.0,0,0.0,0.0
0.21,0.22,0.215,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.22,0.23,0.225,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.23,0.24,0.235,0.009999999999999981,0,0.0,0.0,0,0.0,0.0
0.24,0.25,0.245,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.25,0.26,0.255,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.26,0.27,0.265,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.27,0.28,0.275,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.28,0.29,0.28500000000000003,0.009999999999999953,0,0.0,0.0,0,0.0,0.0
0.29,0.3,0.295,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.3,0.31,0.305,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.31,0.32,0.315,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.32,0.33,0.325,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.33,0.34,0.335,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.34,0.35000000000000003,0.34500000000000003,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.35000000000000003,0.36,0.355,0.009999999999999953,0,0.0,0.0,0,0.0,0.0
0.36,0.37,0.365,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.37,0.38,0.375,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.38,0.39,0.385,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.39,0.4,0.395,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.4,0.41000000000000003,0.405,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.41000000000000003,0.42,0.41500000000000004,0.009999999999999953,0,0.0,0.0,0,0.0,0.0
0.42,0.43,0.425,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.43,0.44,0.435,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.44,0.45,0.445,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.45,0.46,0.455,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.46,0.47000000000000003,0.465,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.47000000000000003,0.48,0.475,0.009999999999999953,0,0.0,0.0,24,0.06666666666666667,0.06666666666666698
0.48,0.49,0.485,0.010000000000000009,0,0.0,0.0,5127,14.241666666666667,14.241666666666653
0.49,0.5,0.495,0.010000000000000009,0,0.0,0.0,15985,44.40277777777778,44.402777777777736
0.5,0.51,0.505,0.010000000000000009,0,0.0,0.0,8283,23.008333333333333,23.00833333333331
0.51,0.52,0.515,0.010000000000000009,0,0.0,0.0,6525,18.125,18.124999999999982
0.52,0.53,0.525,0.010000000000000009,0,0.0,0.0,56,0.15555555555555556,0.15555555555555542
0.53,0.54,0.535,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.54,0.55,0.545,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
0.55,0.56,0.555,0.010000000000000009,0,0.0,0.0,0,0.0,0.0
