device,condition,frame,quality_template_corr,quality_gate_passed,orientation_margin,orientation_gate_passed,pose_initial_corr,pose_final_corr,pose_refined,pose_attempted,pose_gate_passed,pose_angle_deg,pose_scale,pose_tx32,pose_ty32,raw_mismatch_bits,raw_hd,observed_ones,observed_uniformity_percent,decoder_attempted,decoder_converged,decoder_iterations,unsatisfied_checks,estimated_error_bits,exact_reference_recovered,accepted,outcome_stage
M1,M1_10mA_20C_0,frame_0022.png,0.8220058083534241,True,,True,0.8220058083534241,0.8220058083534241,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_20C_0,frame_0030.png,0.7825692296028137,True,,True,0.7825692296028137,0.7825692296028137,False,False,True,0.0,1.0,0.0,0.0,4,0.001953125,1026,50.09765625,True,True,1,0,4,True,True,accepted
M1,M1_10mA_20C_0,frame_0032.png,0.8159523010253906,True,,True,0.8159523010253906,0.8159523010253906,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_20C_0,frame_0038.png,0.823370099067688,True,,True,0.823370099067688,0.823370099067688,False,False,True,0.0,1.0,0.0,0.0,6,0.0029296875,1026,50.09765625,True,True,1,0,6,True,True,accepted
M1,M1_10mA_20C_0,frame_0039.png,0.8083746433258057,True,,True,0.8083746433258057,0.8083746433258057,False,False,True,0.0,1.0,0.0,0.0,3,0.00146484375,1021,49.853515625,True,True,1,0,3,True,True,accepted
M1,M1_10mA_20C_0,frame_0042.png,0.7998789548873901,True,,True,0.7998789548873901,0.7998789548873901,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_20C_0,frame_0043.png,0.8211208581924438,True,,True,0.8211208581924438,0.8211208581924438,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_20C_0,frame_0045.png,0.7974501252174377,True,,True,0.7974501252174377,0.7974501252174377,False,False,True,0.0,1.0,0.0,0.0,2,0.0009765625,1022,49.90234375,True,True,1,0,2,True,True,accepted
M1,M1_10mA_20C_0,frame_0046.png,0.8173540830612183,True,,True,0.8173540830612183,0.8173540830612183,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_20C_0,frame_0052.png,0.8149324059486389,True,,True,0.8149324059486389,0.8149324059486389,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_20C_0,frame_0059.png,0.8220305442810059,True,,True,0.8220305442810059,0.8220305442810059,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_20C_0,frame_0061.png,0.8127747178077698,True,,True,0.8127747178077698,0.8127747178077698,False,False,True,0.0,1.0,0.0,0.0,1,0.00048828125,1021,49.853515625,True,True,1,0,1,True,True,accepted
M1,M1_10mA_20C_0,frame_0072.png,0.8122138977050781,True,,True,0.8122138977050781,0.8122138977050781,False,False,True,0.0,1.0,0.0,0.0,1,0.00048828125,1023,49.951171875,True,True,1,0,1,True,True,accepted
M1,M1_10mA_20C_0,frame_0074.png,0.80101478099823,True,,True,0.80101478099823,0.80101478099823,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_20C_0,frame_0078.png,0.8126696944236755,True,,True,0.8126696944236755,0.8126696944236755,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_20C_0,frame_0086.png,0.7995839715003967,True,,True,0.7995839715003967,0.7995839715003967,False,False,True,0.0,1.0,0.0,0.0,5,0.00244140625,1021,49.853515625,True,True,1,0,5,True,True,accepted
M1,M1_10mA_20C_0,frame_0090.png,0.7553809285163879,True,,True,0.7553809285163879,0.7553809285163879,False,False,True,0.0,1.0,0.0,0.0,2,0.0009765625,1022,49.90234375,True,True,1,0,2,True,True,accepted
M1,M1_10mA_20C_0,frame_0092.png,0.8072853684425354,True,,True,0.8072853684425354,0.8072853684425354,False,False,True,0.0,1.0,0.0,0.0,3,0.00146484375,1023,49.951171875,True,True,1,0,3,True,True,accepted
M1,M1_10mA_20C_0,frame_0096.png,0.8185460567474365,True,,True,0.8185460567474365,0.8185460567474365,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_20C_0,frame_0107.png,0.7879199385643005,True,,True,0.7879199385643005,0.7879199385643005,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_20C_0,frame_0111.png,0.8069312572479248,True,,True,0.8069312572479248,0.8069312572479248,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_20C_0,frame_0112.png,0.7869516015052795,True,,True,0.7869516015052795,0.7869516015052795,False,False,True,0.0,1.0,0.0,0.0,5,0.00244140625,1023,49.951171875,True,True,1,0,5,True,True,accepted
M1,M1_10mA_20C_0,frame_0113.png,0.8261417746543884,True,,True,0.8261417746543884,0.8261417746543884,False,False,True,0.0,1.0,0.0,0.0,4,0.001953125,1022,49.90234375,True,True,1,0,4,True,True,accepted
M1,M1_10mA_20C_0,frame_0118.png,0.8202812075614929,True,,True,0.8202812075614929,0.8202812075614929,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_20C_0,frame_0121.png,0.8187793493270874,True,,True,0.8187793493270874,0.8187793493270874,False,False,True,0.0,1.0,0.0,0.0,2,0.0009765625,1022,49.90234375,True,True,1,0,2,True,True,accepted
M1,M1_10mA_20C_0,frame_0127.png,0.8190692663192749,True,,True,0.8190692663192749,0.8190692663192749,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_20C_0,frame_0129.png,0.7799917459487915,True,,True,0.7799917459487915,0.7799917459487915,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_20C_0,frame_0131.png,0.8260026574134827,True,,True,0.8260026574134827,0.8260026574134827,False,False,True,0.0,1.0,0.0,0.0,5,0.00244140625,1023,49.951171875,True,True,1,0,5,True,True,accepted
M1,M1_10mA_20C_0,frame_0134.png,0.8066531419754028,True,,True,0.8066531419754028,0.8066531419754028,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_20C_0,frame_0137.png,0.8111519813537598,True,,True,0.8111519813537598,0.8111519813537598,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_20C_0,frame_0143.png,0.8282347917556763,True,,True,0.8282347917556763,0.8282347917556763,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_20C_0,frame_0152.png,0.7747951149940491,True,,True,0.7747951149940491,0.7747951149940491,False,False,True,0.0,1.0,0.0,0.0,1,0.00048828125,1023,49.951171875,True,True,1,0,1,True,True,accepted
M1,M1_10mA_20C_0,frame_0153.png,0.8179640173912048,True,,True,0.8179640173912048,0.8179640173912048,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_20C_0,frame_0156.png,0.7723506093025208,True,,True,0.7723506093025208,0.7723506093025208,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_20C_0,frame_0157.png,0.8209177851676941,True,,True,0.8209177851676941,0.8209177851676941,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_20C_0,frame_0160.png,0.8233715295791626,True,,True,0.8233715295791626,0.8233715295791626,False,False,True,0.0,1.0,0.0,0.0,3,0.00146484375,1021,49.853515625,True,True,1,0,3,True,True,accepted
M1,M1_10mA_20C_0,frame_0161.png,0.7954046130180359,True,,True,0.7954046130180359,0.7954046130180359,False,False,True,0.0,1.0,0.0,0.0,5,0.00244140625,1021,49.853515625,True,True,1,0,5,True,True,accepted
M1,M1_10mA_20C_0,frame_0168.png,0.817992091178894,True,,True,0.817992091178894,0.817992091178894,False,False,True,0.0,1.0,0.0,0.0,7,0.00341796875,1023,49.951171875,True,True,1,0,7,True,True,accepted
M1,M1_10mA_20C_0,frame_0175.png,0.8221412301063538,True,,True,0.8221412301063538,0.8221412301063538,False,False,True,0.0,1.0,0.0,0.0,3,0.00146484375,1021,49.853515625,True,True,1,0,3,True,True,accepted
M1,M1_10mA_20C_0,frame_0178.png,0.8167432546615601,True,,True,0.8167432546615601,0.8167432546615601,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
