group,metric,value,unit
dataset,independent_devices,9,devices
dataset,enrollment_images,81,images
dataset,enrollment_pool_images,405,images excluded from probes
dataset,probe_images,3645,images
PUF,uniformity_mean,50.113932291666664,% ones
PUF,uniformity_std,1.012521550455455,%
PUF,uniqueness_fixed_common_candidates_mean,53.861490885416664,% inter-HD
PUF,uniqueness_fixed_common_candidates_min,41.064453125,% inter-HD
PUF,reliability,99.78293252743484,%
PUF,intra_hd_mean,0.21706747256515774,%
PUF,intra_hd_p95,1.07421875,%
PUF,intra_hd_p99,4.150390625,%
PUF,bit_aliasing_mean,50.150553385416664,% devices with bit 1
fuzzy,all_probe_exact_recovery,100.0,%
fuzzy,quality_gate_rejects,0,images
fuzzy,qualified_exact_recovery,100.0,%
security,syndrome_rank_leakage,1536,bits
security,coset_dimension_upper_bound,512,bits
